Year,Scope,County_GEOID,County_Name,Elev_Band,Elev_Min_m,Elev_Max_m,Population,Pct_of_State,WorldPop_Source
2013,County,12121,Suwannee,50+ m,50,112.47,2262,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12123,Taylor,0-1 m,0,1.0,254,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12123,Taylor,1-2 m,1,2.0,390,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12123,Taylor,2-5 m,2,5.0,968,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12123,Taylor,5-10 m,5,10.0,5396,0.03,WorldPop_PPP_Unconstrained_v2
2013,County,12123,Taylor,10-25 m,10,25.0,16515,0.08,WorldPop_PPP_Unconstrained_v2
2013,County,12123,Taylor,25-50 m,25,50.0,142,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12125,Union,10-25 m,10,25.0,524,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12125,Union,25-50 m,25,50.0,15710,0.08,WorldPop_PPP_Unconstrained_v2
2013,County,12125,Union,50+ m,50,112.47,0,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12127,Volusia,0-1 m,0,1.0,14619,0.07,WorldPop_PPP_Unconstrained_v2
2013,County,12127,Volusia,1-2 m,1,2.0,44519,0.23,WorldPop_PPP_Unconstrained_v2
2013,County,12127,Volusia,2-5 m,2,5.0,130874,0.66,WorldPop_PPP_Unconstrained_v2
2013,County,12127,Volusia,5-10 m,5,10.0,127541,0.65,WorldPop_PPP_Unconstrained_v2
2013,County,12127,Volusia,10-25 m,10,25.0,167502,0.85,WorldPop_PPP_Unconstrained_v2
2013,County,12127,Volusia,25-50 m,25,50.0,26052,0.13,WorldPop_PPP_Unconstrained_v2
2013,County,12129,Wakulla,0-1 m,0,1.0,457,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12129,Wakulla,1-2 m,1,2.0,1056,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12129,Wakulla,2-5 m,2,5.0,6187,0.03,WorldPop_PPP_Unconstrained_v2
2013,County,12129,Wakulla,5-10 m,5,10.0,23562,0.12,WorldPop_PPP_Unconstrained_v2
2013,County,12129,Wakulla,10-25 m,10,25.0,2311,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12129,Wakulla,25-50 m,25,50.0,6,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12131,Walton,0-1 m,0,1.0,3023,0.02,WorldPop_PPP_Unconstrained_v2
2013,County,12131,Walton,1-2 m,1,2.0,5694,0.03,WorldPop_PPP_Unconstrained_v2
2013,County,12131,Walton,2-5 m,2,5.0,10894,0.06,WorldPop_PPP_Unconstrained_v2
2013,County,12131,Walton,5-10 m,5,10.0,7134,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12131,Walton,10-25 m,10,25.0,4622,0.02,WorldPop_PPP_Unconstrained_v2
2013,County,12131,Walton,25-50 m,25,50.0,3147,0.02,WorldPop_PPP_Unconstrained_v2
2013,County,12131,Walton,50+ m,50,112.47,25845,0.13,WorldPop_PPP_Unconstrained_v2
2013,County,12133,Washington,0-1 m,0,1.0,7,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12133,Washington,1-2 m,1,2.0,17,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12133,Washington,2-5 m,2,5.0,103,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12133,Washington,5-10 m,5,10.0,432,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12133,Washington,10-25 m,10,25.0,6984,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12133,Washington,25-50 m,25,50.0,14474,0.07,WorldPop_PPP_Unconstrained_v2
2013,County,12133,Washington,50+ m,50,112.47,4260,0.02,WorldPop_PPP_Unconstrained_v2
2013,Statewide,12,Florida (Statewide),0-1 m,0,1.0,780466,3.95,WorldPop_PPP_Unconstrained_v2
2013,Statewide,12,Florida (Statewide),1-2 m,1,2.0,2971664,15.05,WorldPop_PPP_Unconstrained_v2
2013,Statewide,12,Florida (Statewide),2-5 m,2,5.0,5000976,25.33,WorldPop_PPP_Unconstrained_v2
2013,Statewide,12,Florida (Statewide),5-10 m,5,10.0,3550753,17.98,WorldPop_PPP_Unconstrained_v2
2013,Statewide,12,Florida (Statewide),10-25 m,10,25.0,3803526,19.26,WorldPop_PPP_Unconstrained_v2
2013,Statewide,12,Florida (Statewide),25-50 m,25,50.0,3147454,15.94,WorldPop_PPP_Unconstrained_v2
2013,Statewide,12,Florida (Statewide),50+ m,50,112.47,491023,2.49,WorldPop_PPP_Unconstrained_v2
2014,County,12001,Alachua,5-10 m,5,10.0,13,0.0,WorldPop_PPP_Unconstrained_v2
2014,County,12001,Alachua,10-25 m,10,25.0,69399,0.35,WorldPop_PPP_Unconstrained_v2
2014,County,12001,Alachua,25-50 m,25,50.0,135301,0.67,WorldPop_PPP_Unconstrained_v2
2014,County,12001,Alachua,50+ m,50,112.47,55718,0.28,WorldPop_PPP_Unconstrained_v2
2014,County,12003,Baker,10-25 m,10,25.0,730,0.0,WorldPop_PPP_Unconstrained_v2
2014,County,12003,Baker,25-50 m,25,50.0,26827,0.13,WorldPop_PPP_Unconstrained_v2
2014,County,12003,Baker,50+ m,50,112.47,1771,0.01,WorldPop_PPP_Unconstrained_v2
2014,County,12005,Bay,0-1 m,0,1.0,4091,0.02,WorldPop_PPP_Unconstrained_v2
2014,County,12005,Bay,1-2 m,1,2.0,8935,0.04,WorldPop_PPP_Unconstrained_v2
2014,County,12005,Bay,2-5 m,2,5.0,49611,0.25,WorldPop_PPP_Unconstrained_v2
2014,County,12005,Bay,5-10 m,5,10.0,73056,0.36,WorldPop_PPP_Unconstrained_v2
2014,County,12005,Bay,10-25 m,10,25.0,35779,0.18,WorldPop_PPP_Unconstrained_v2
2014,County,12005,Bay,25-50 m,25,50.0,2933,0.01,WorldPop_PPP_Unconstrained_v2
2014,County,12005,Bay,50+ m,50,112.47,2923,0.01,WorldPop_PPP_Unconstrained_v2
2014,County,12007,Bradford,10-25 m,10,25.0,47,0.0,WorldPop_PPP_Unconstrained_v2
2014,County,12007,Bradford,25-50 m,25,50.0,24218,0.12,WorldPop_PPP_Unconstrained_v2
2014,County,12007,Bradford,50+ m,50,112.47,5191,0.03,WorldPop_PPP_Unconstrained_v2
2014,County,12009,Brevard,0-1 m,0,1.0,23091,0.11,WorldPop_PPP_Unconstrained_v2
2014,County,12009,Brevard,1-2 m,1,2.0,50361,0.25,WorldPop_PPP_Unconstrained_v2
2014,County,12009,Brevard,2-5 m,2,5.0,88780,0.44,WorldPop_PPP_Unconstrained_v2
2014,County,12009,Brevard,5-10 m,5,10.0,383232,1.91,WorldPop_PPP_Unconstrained_v2
2014,County,12009,Brevard,10-25 m,10,25.0,26096,0.13,WorldPop_PPP_Unconstrained_v2
2014,County,12011,Broward,0-1 m,0,1.0,110033,0.55,WorldPop_PPP_Unconstrained_v2
2014,County,12011,Broward,1-2 m,1,2.0,783869,3.9,WorldPop_PPP_Unconstrained_v2
2014,County,12011,Broward,2-5 m,2,5.0,880027,4.38,WorldPop_PPP_Unconstrained_v2
2014,County,12011,Broward,5-10 m,5,10.0,17627,0.09,WorldPop_PPP_Unconstrained_v2
2014,County,12011,Broward,10-25 m,10,25.0,64,0.0,WorldPop_PPP_Unconstrained_v2
2014,County,12011,Broward,25-50 m,25,50.0,0,0.0,WorldPop_PPP_Unconstrained_v2
2014,County,12013,Calhoun,2-5 m,2,5.0,32,0.0,WorldPop_PPP_Unconstrained_v2
2014,County,12013,Calhoun,5-10 m,5,10.0,138,0.0,WorldPop_PPP_Unconstrained_v2
2014,County,12013,Calhoun,10-25 m,10,25.0,7565,0.04,WorldPop_PPP_Unconstrained_v2
2014,County,12013,Calhoun,25-50 m,25,50.0,5281,0.03,WorldPop_PPP_Unconstrained_v2
2014,County,12013,Calhoun,50+ m,50,112.47,2322,0.01,WorldPop_PPP_Unconstrained_v2
2014,County,12015,Charlotte,0-1 m,0,1.0,19748,0.1,WorldPop_PPP_Unconstrained_v2
2014,County,12015,Charlotte,1-2 m,1,2.0,46370,0.23,WorldPop_PPP_Unconstrained_v2
2014,County,12015,Charlotte,2-5 m,2,5.0,70733,0.35,WorldPop_PPP_Unconstrained_v2
2014,County,12015,Charlotte,5-10 m,5,10.0,30384,0.15,WorldPop_PPP_Unconstrained_v2
2014,County,12015,Charlotte,10-25 m,10,25.0,559,0.0,WorldPop_PPP_Unconstrained_v2
2014,County,12015,Charlotte,25-50 m,25,50.0,0,0.0,WorldPop_PPP_Unconstrained_v2
2014,County,12017,Citrus,0-1 m,0,1.0,4447,0.02,WorldPop_PPP_Unconstrained_v2
2014,County,12017,Citrus,1-2 m,1,2.0,7820,0.04,WorldPop_PPP_Unconstrained_v2
